NACE 2 CODE,Activity Code,Economic Activity,Year,Month,Anastoles-Metapoiisi,Anastoles-Touristiki,Termatismoi-Touristiki,Termatismoi-Alloi,Total
A,1,"Γεωργία, δασοκομία και αλιεία",2013,Ιανουάριος,0,0,0,159,159
B,2,Ορυχεία και λατομεία,2013,Ιανουάριος,0,0,0,62,62
C,3,Μεταποίηση,2013,Ιανουάριος,141,0,0,2690,2831
D,4,"Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού",2013,Ιανουάριος,0,0,0,15,15
E,5,"Παροχή νερού, επεξεργασία λυμάτων, διαχείριση αποβλήτων και δραστηριότητες εξυγίανσης",2013,Ιανουάριος,0,0,0,31,31
F,6,Κατασκευές,2013,Ιανουάριος,0,5,10,4790,4805
G,7,Χονδρικό και λιανικό εμπόριο.  Επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών,2013,Ιανουάριος,0,242,20,5524,5786
H,8,Μεταφορά και αποθήκευση,2013,Ιανουάριος,0,58,5,1136,1199
I,9,Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης,2013,Ιανουάριος,0,4207,3681,3010,10898
J,10,Ενημέρωση και επικοινωνία,2013,Ιανουάριος,0,0,2,373,375
K,11,Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες,2013,Ιανουάριος,0,0,0,511,511
L,12,Διαχείριση ακίνητης περιουσίας,2013,Ιανουάριος,0,2,10,190,202
M,13,"Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες",2013,Ιανουάριος,0,3,0,949,952
N,14,Διοικητικές και υποστηρικτικές δραστηριότητες,2013,Ιανουάριος,0,66,7,776,849
O,15,Δημόσια διοίκηση και άμυνα. Υποχρεωτική κοινωνική ασφάλιση,2013,Ιανουάριος,0,16,0,3124,3140
P,16,Εκπαίδευση,2013,Ιανουάριος,0,8,0,586,594
Q,17,Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα,2013,Ιανουάριος,0,1,0,332,333
R,18,"Τέχνες, διασκέδαση και ψυχαγωγία",2013,Ιανουάριος,0,59,7,417,483
S,19,Άλλες δραστηριότητες παροχής υπηρεσιών,2013,Ιανουάριος,0,39,12,461,512
T,20,Δραστηριότητες νοικοκυριών ως εργοδοτών,2013,Ιανουάριος,0,0,1,50,51
U,21,Δραστηριότητες ετερόδικων οργανισμών και φορέων,2013,Ιανουάριος,0,0,0,20,20
N/A,22,Μη δηλωμένη οικονομική δραστηριότητα,2013,Ιανουάριος,0,0,0,2651,2651
LIM,23,Λιμενεργάτες,2013,Ιανουάριος,0,0,0,7,7
Σύνολο,Σύνολο,Σύνολο,2013,Ιανουάριος,141,4706,3755,27864,36466
A,1,"Γεωργία, δασοκομία και αλιεία",2013,Φεβρουάριος,0,0,0,159,159
B,2,Ορυχεία και λατομεία,2013,Φεβρουάριος,0,0,0,57,57
C,3,Μεταποίηση,2013,Φεβρουάριος,169,0,0,2703,2872
D,4,"Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού",2013,Φεβρουάριος,0,0,0,17,17
E,5,"Παροχή νερού, επεξεργασία λυμάτων, διαχείριση αποβλήτων και δραστηριότητες εξυγίανσης",2013,Φεβρουάριος,0,0,0,27,27
F,6,Κατασκευές,2013,Φεβρουάριος,0,5,8,4710,4723
G,7,Χονδρικό και λιανικό εμπόριο.  Επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών,2013,Φεβρουάριος,0,251,21,5726,5998
H,8,Μεταφορά και αποθήκευση,2013,Φεβρουάριος,0,59,5,1115,1179
I,9,Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης,2013,Φεβρουάριος,0,4351,3590,3014,10955
J,10,Ενημέρωση και επικοινωνία,2013,Φεβρουάριος,0,0,2,369,371
K,11,Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες,2013,Φεβρουάριος,0,0,0,682,682
L,12,Διαχείριση ακίνητης περιουσίας,2013,Φεβρουάριος,0,2,12,187,201
M,13,"Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες",2013,Φεβρουάριος,0,3,0,955,958
N,14,Διοικητικές και υποστηρικτικές δραστηριότητες,2013,Φεβρουάριος,0,69,7,751,827
O,15,Δημόσια διοίκηση και άμυνα. Υποχρεωτική κοινωνική ασφάλιση,2013,Φεβρουάριος,0,16,0,2759,2775
P,16,Εκπαίδευση,2013,Φεβρουάριος,0,9,0,413,422
Q,17,Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα,2013,Φεβρουάριος,0,1,0,333,334
R,18,"Τέχνες, διασκέδαση και ψυχαγωγία",2013,Φεβρουάριος,0,60,7,414,481
S,19,Άλλες δραστηριότητες παροχής υπηρεσιών,2013,Φεβρουάριος,0,30,11,474,515
T,20,Δραστηριότητες νοικοκυριών ως εργοδοτών,2013,Φεβρουάριος,0,0,1,51,52
U,21,Δραστηριότητες ετερόδικων οργανισμών και φορέων,2013,Φεβρουάριος,0,0,0,17,17
N/A,22,Μη δηλωμένη οικονομική δραστηριότητα,2013,Φεβρουάριος,0,0,0,2580,2580
LIM,23,Λιμενεργάτες,2013,Φεβρουάριος,0,0,0,9,9
Σύνολο,Σύνολο,Σύνολο,2013,Φεβρουάριος,169,4856,3664,27522,36211
A,1,"Γεωργία, δασοκομία και αλιεία",2013,Μάρτιος,0,0,0,159,159
B,2,Ορυχεία και λατομεία,2013,Μάρτιος,0,0,0,58,58
C,3,Μεταποίηση,2013,Μάρτιος,103,0,0,2762,2865
D,4,"Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού",2013,Μάρτιος,0,0,0,17,17
E,5,"Παροχή νερού, επεξεργασία λυμάτων, διαχείριση αποβλήτων και δραστηριότητες εξυγίανσης",2013,Μάρτιος,0,0,0,23,23
F,6,Κατασκευές,2013,Μάρτιος,0,5,8,4668,4681
G,7,Χονδρικό και λιανικό εμπόριο.  Επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών,2013,Μάρτιος,0,244,21,5979,6244
H,8,Μεταφορά και αποθήκευση,2013,Μάρτιος,0,58,5,1083,1146
I,9,Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης,2013,Μάρτιος,0,3629,3395,2944,9968
J,10,Ενημέρωση και επικοινωνία,2013,Μάρτιος,0,0,1,370,371
K,11,Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες,2013,Μάρτιος,0,0,0,691,691
L,12,Διαχείριση ακίνητης περιουσίας,2013,Μάρτιος,0,2,9,166,177
M,13,"Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες",2013,Μάρτιος,0,3,0,977,980
N,14,Διοικητικές και υποστηρικτικές δραστηριότητες,2013,Μάρτιος,0,69,6,745,820
O,15,Δημόσια διοίκηση και άμυνα. Υποχρεωτική κοινωνική ασφάλιση,2013,Μάρτιος,0,16,0,2707,2723
P,16,Εκπαίδευση,2013,Μάρτιος,0,10,0,392,402
Q,17,Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα,2013,Μάρτιος,0,1,0,333,334
R,18,"Τέχνες, διασκέδαση και ψυχαγωγία",2013,Μάρτιος,0,53,7,408,468
S,19,Άλλες δραστηριότητες παροχής υπηρεσιών,2013,Μάρτιος,0,31,11,470,512
T,20,Δραστηριότητες νοικοκυριών ως εργοδοτών,2013,Μάρτιος,0,0,1,51,52
U,21,Δραστηριότητες ετερόδικων οργανισμών και φορέων,2013,Μάρτιος,0,0,0,19,19
N/A,22,Μη δηλωμένη οικονομική δραστηριότητα,2013,Μάρτιος,0,0,0,2501,2501
LIM,23,Λιμενεργάτες,2013,Μάρτιος,0,0,0,23,23
Σύνολο,Σύνολο,Σύνολο,2013,Μάρτιος,103,4121,3464,27546,35234
